artifact_name,object_type
哥窑青釉贯耳瓶,青釉瓶
哥窑青釉贯耳瓶,陶瓷
哥窑青釉贯耳瓶,颜色釉瓷
哥窑米色釉胆式瓶,瓷器
哥窑米色釉胆式瓶,器皿
哥窑米色釉胆式瓶,瓶（容器）
哥窑米色釉胆式瓶,瓷瓶
哥窑米色釉胆式瓶,胆式瓶
哥窑米色釉胆式瓶,瓷（陶瓷）
哥窑米色釉胆式瓶,陶瓷
哥窑青釉贯耳瓶,器皿
哥窑青釉贯耳瓶,瓶（容器）
哥窑青釉贯耳瓶,瓷瓶
哥窑青釉贯耳瓶,瓷（陶瓷）
哥窑青釉贯耳瓶,耳瓶
哥窑青釉贯耳瓶,贯耳瓶
哥窑青釉贯耳瓶,青瓷
哥窑青釉贯耳瓶,青釉瓶
哥窑青釉贯耳瓶,陶瓷
哥窑青釉贯耳瓶,颜色釉瓷
龙泉窑青釉盘口瓶,口（形制）
龙泉窑青釉盘口瓶,盘口
龙泉窑青釉盘口瓶,腹（形制）
龙泉窑青釉盘口瓶,鼓腹
龙泉窑青釉盘口瓶,足（形制）
龙泉窑青釉盘口瓶,圈足
龙泉窑青釉盘口瓶,颈（形制）
龙泉窑青釉盘口瓶,长颈
龙泉窑青釉盘口瓶,肩（形制）
龙泉窑青釉盘口瓶,斜肩
